year,award,rank,player_key,player_display,nation,is_team,source_heading
1970,Best Young Player,1,Teófilo Cubillas,Teófilo Cubillas,PER,0,===Awards===
1970,Fair Play Trophy,1,,,PER,1,===Awards===
1970,Golden Boot,1,Gerd Müller,Gerd Müller,GER,0,===Awards===
1978,Best player,1,Mario Kempes,Mario Kempes,ARG,0,===Awards (Unofficial winner)===
1978,Best player,2,Paolo Rossi,Paolo Rossi,ITA,0,===Awards (Unofficial winner)===
1978,Best player,3,Dirceu,Dirceu,BRA,0,===Awards (Unofficial winner)===
1982,Best Young Player,1,Manuel Amoros,Manuel Amoros,FRA,0,===Awards===
1982,Fair Play Trophy,1,,,BRA,1,===Awards===
1982,Golden Ball,1,Paolo Rossi,Paolo Rossi,ITA,0,===Awards===
1982,Golden Ball,2,Paulo Roberto Falcão,Falcão,BRA,0,===Awards===
1982,Golden Ball,3,Karl-Heinz Rummenigge,Karl-Heinz Rummenigge,FRG,0,===Awards===
1982,Golden Ball,4,Zbigniew Boniek,Zbigniew Boniek,POL,0,===Awards===
1982,Golden Ball,5,Zico (footballer),Zico,BRA,0,===Awards===
1982,Golden Ball,6,Sócrates,Sócrates,BRA,0,===Awards===
1982,Golden Ball,7,Alain Giresse,Alain Giresse,FRA,0,===Awards===
1982,Golden Ball,8,Rinat Dasayev,Rinat Dasayev,Soviet Union,0,===Awards===
1982,Golden Ball,9,Diego Maradona,Diego Maradona,ARG,0,===Awards===
1982,Golden Ball,10,Michel Platini,Michel Platini,FRA,0,===Awards===
1982,Golden Boot,1,Paolo Rossi,Paolo Rossi,ITA,0,===Awards===
1986,Best Young Player,1,Enzo Scifo,Enzo Scifo,BEL,0,===Awards===
1986,Fair Play Trophy,1,,,BRA,1,===Awards===
1986,Golden Ball,1,Diego Maradona,Diego Maradona,ARG,0,===Awards===
1986,Golden Ball,2,Toni Schumacher,Toni Schumacher,FRG,0,===Awards===
1986,Golden Ball,3,Preben Elkjær,Preben Elkjær,DEN,0,===Awards===
1986,Golden Ball,4,Jean-Marie Pfaff,Jean-Marie Pfaff,BEL,0,===Awards===
1986,Golden Ball,4,Michel Platini,Michel Platini,FRA,0,===Awards===
1986,Golden Ball,6,Gary Lineker,Gary Lineker,ENG,0,===Awards===
1986,Golden Ball,7,Manuel Amoros,Manuel Amoros,FRA,0,===Awards===
1986,Golden Ball,8,Emilio Butragueño,Emilio Butragueño,ESP,0,===Awards===
1986,Golden Ball,9,Jean Tigana,Jean Tigana,FRA,0,===Awards===
1986,Golden Ball,10,"Júlio César (footballer, born 1963)",Júlio César,BRA,0,===Awards===
1986,Golden Boot,1,Gary Lineker,Gary Lineker,ENG,0,===Awards===
1990,Best Young Player,1,Robert Prosinečki,Robert Prosinečki,YUG,0,===Awards===
1990,Fair Play Trophy,1,,,ENG,1,===Awards===
1990,Golden Ball,1,Salvatore Schillaci,Salvatore Schillaci,ITA,0,===Awards===
1990,Golden Ball,2,Lothar Matthäus,Lothar Matthäus,FRG,0,===Awards===
1990,Golden Ball,3,Diego Maradona,Diego Maradona,ARG,0,===Awards===
1990,Golden Ball,4,Roger Milla,Roger Milla,CMR,0,===Awards===
1990,Golden Ball,5,Jürgen Klinsmann,Jürgen Klinsmann,FRG,0,===Awards===
1990,Golden Ball,6,Roberto Baggio,Roberto Baggio,ITA,0,===Awards===
1990,Golden Boot,1,Salvatore Schillaci,Salvatore Schillaci,ITA,0,===Awards===
1994,Best Young Player,1,Marc Overmars,Marc Overmars,NED,0,===Awards===
1994,Fair Play Trophy,1,,,BRA,1,===Awards===
1994,Golden Ball,1,Romário,Romário,BRA,0,===Awards===
1994,Golden Boot,1,Hristo Stoichkov,Hristo Stoichkov,BUL,0,===Awards===
1994,Golden Boot,1,Oleg Salenko,Oleg Salenko,RUS,0,===Awards===
1994,Golden Glove,1,Michel Preud'homme,Michel Preud'homme,BEL,0,===Awards===
1994,Most Entertaining Team,1,,,BRA,1,===Awards===
1998,Fair Play Trophy,1,,,ENG,1,=== Awards ===
1998,Fair Play Trophy,1,,,FRA,1,=== Awards ===
1998,Golden Ball,1,Ronaldo (Brazilian footballer),Ronaldo,BRA,0,=== Awards ===
1998,Golden Boot,1,Davor Šuker,Davor Šuker,CRO,0,=== Awards ===
1998,Golden Glove,1,Fabien Barthez,Fabien Barthez,FRA,0,=== Awards ===
1998,Most Entertaining Team,1,,,FRA,1,=== Awards ===
2002,Best Young Player,1,Landon Donovan,Landon Donovan,USA,0,===Awards===
2002,Fair Play Trophy,1,,,BEL,1,===Awards===
2002,Golden Ball,1,Oliver Kahn,Oliver Kahn,GER,0,===Awards===
2002,Golden Boot,1,Ronaldo (Brazilian footballer),Ronaldo,BRA,0,===Awards===
2002,Golden Glove,1,Oliver Kahn,Oliver Kahn,GER,0,===Awards===
2002,Most Entertaining Team,1,,,KOR,1,===Awards===
2006,Best Young Player,1,Lukas Podolski,Lukas Podolski,GER,0,===Awards===
2006,Fair Play Trophy,1,,,BRA,1,===Awards===
2006,Fair Play Trophy,1,,,ESP,1,===Awards===
2006,Golden Ball,1,Zinedine Zidane,Zinedine Zidane,FRA,0,===Awards===
2006,Golden Boot,1,Miroslav Klose,Miroslav Klose,GER,0,===Awards===
2006,Golden Glove,1,Gianluigi Buffon,Gianluigi Buffon,ITA,0,===Awards===
2006,Most Entertaining Team,1,,,POR,1,===Awards===
2010,Best Young Player,1,Thomas Müller,Thomas Müller,GER,0,==Awards==
2010,Fair Play Trophy,1,,,ESP,1,==Awards==
2010,Golden Ball,1,Diego Forlán,Diego Forlán,URU,0,==Awards==
2010,Golden Ball,2,Wesley Sneijder,Wesley Sneijder,HOL,0,==Awards==
2010,Golden Ball,3,David Villa,David Villa,SPA,0,==Awards==
2010,Golden Boot,1,Thomas Müller,Thomas Müller,GER,0,==Awards==
2010,Golden Glove,1,Iker Casillas,Iker Casillas,ESP,0,==Awards==
2014,Best Young Player,1,Paul Pogba,Paul Pogba,FRA,0,===Awards===
2014,Fair Play Trophy,1,,,COL,1,===Awards===
2014,Golden Ball,1,Lionel Messi,Lionel Messi,ARG,0,===Awards===
2014,Golden Ball,2,Thomas Müller,Thomas Müller,GER,0,===Awards===
2014,Golden Ball,3,Arjen Robben,Arjen Robben,NED,0,===Awards===
2014,Golden Boot,1,James Rodríguez,James Rodríguez,COL,0,===Awards===
2014,Golden Boot,2,Thomas Müller,Thomas Müller,GER,0,===Awards===
2014,Golden Boot,3,Neymar,Neymar,BRA,0,===Awards===
2014,Golden Glove,1,Manuel Neuer,Manuel Neuer,GER,0,===Awards===
2018,Best Young Player,1,Kylian Mbappé,Kylian Mbappé,FRA,0,==Awards==
2018,Fair Play Trophy,1,,,ESP,1,==Awards==
