year,stage,date,player_key,player_display,team_code,opponent_code,minute,minute_extra,penalty,own_goal,source_page
1930,group,1930-07-13,Lucien Laurent,L. Laurent,FRA,MEX,19,,0,0,1930 FIFA World Cup Group 1
1930,group,1930-07-13,Bart McGhee,McGhee,USA,BEL,23,,0,0,1930 FIFA World Cup Group 4
1930,group,1930-07-13,Marcel Langiller,Langiller,FRA,MEX,40,,0,0,1930 FIFA World Cup Group 1
1930,group,1930-07-13,André Maschinot,Maschinot,FRA,MEX,43,,0,0,1930 FIFA World Cup Group 1
1930,group,1930-07-13,Tom Florie,Florie,USA,BEL,45,,0,0,1930 FIFA World Cup Group 4
1930,group,1930-07-13,Bert Patenaude,Patenaude,USA,BEL,69,,0,0,1930 FIFA World Cup Group 4
1930,group,1930-07-13,Juan Carreño,Carreño,MEX,FRA,70,,0,0,1930 FIFA World Cup Group 1
1930,group,1930-07-13,André Maschinot,Maschinot,FRA,MEX,87,,0,0,1930 FIFA World Cup Group 1
1930,group,1930-07-14,Adalbert Deșu,Deșu,ROU,PER,1,,0,0,1930 FIFA World Cup Group 3
1930,group,1930-07-14,Aleksandar Tirnanić,Tirnanić,YUG,BRA,21,,0,0,1930 FIFA World Cup Group 2
1930,group,1930-07-14,Ivan Bek,Bek,YUG,BRA,30,,0,0,1930 FIFA World Cup Group 2
1930,group,1930-07-14,Preguinho,Preguinho,BRA,YUG,62,,0,0,1930 FIFA World Cup Group 2
1930,group,1930-07-14,Luis de Souza,De Souza,PER,ROU,75,,0,0,1930 FIFA World Cup Group 3
1930,group,1930-07-14,Constantin Stanciu,Stanciu,ROU,PER,79,,0,0,1930 FIFA World Cup Group 3
1930,group,1930-07-14,Miklós Kovács (footballer),Kovács,ROU,PER,89,,0,0,1930 FIFA World Cup Group 3
1930,group,1930-07-15,Luis Monti,Monti,ARG,FRA,81,,0,0,1930 FIFA World Cup Group 1
1930,group,1930-07-16,Carlos Vidal,Vidal,CHI,MEX,3,,0,0,1930 FIFA World Cup Group 1
1930,group,1930-07-16,"Manuel Rosas (footballer, born 1912)",M. Rosas,MEX,CHI,52,,0,1,1930 FIFA World Cup Group 1
