year,stage,date,team1_code,team2_code,score1,score2,attendance,referee,referee_nation,stadium,source_page
1930,group,1930-07-13,FRA,MEX,4,1,4444,Domingo Lombardi,Uruguay,"Estadio Pocitos, Montevideo",1930 FIFA World Cup Group 1
1930,group,1930-07-13,USA,BEL,3,0,18346,José Macías,Argentina,"Estadio Parque Central, Montevideo",1930 FIFA World Cup Group 4
1930,group,1930-07-14,ROU,PER,3,1,2549,Alberto Warnken,Chile,"Estadio Pocitos, Montevideo",1930 FIFA World Cup Group 3
1930,group,1930-07-14,YUG,BRA,2,1,24059,Aníbal Tejada,Uruguay,"Estadio Parque Central, Montevideo",1930 FIFA World Cup Group 2
1930,group,1930-07-15,ARG,FRA,1,0,23409,Almeida Rêgo,Brazil,"Estadio Parque Central, Montevideo",1930 FIFA World Cup Group 1
1930,group,1930-07-16,CHI,MEX,3,0,9249,Henri Christophe,Belgium,"Estadio Parque Central, Montevideo",1930 FIFA World Cup Group 1
1930,group,1930-07-17,USA,PAR,3,0,18306,José Macías,Argentina,"Estadio Parque Central, Montevideo",1930 FIFA World Cup Group 4
1930,group,1930-07-17,YUG,BOL,4,0,18306,Francisco Mateucci,Uruguay,"Estadio Parque Central, Montevideo",1930 FIFA World Cup Group 2
1930,group,1930-07-18,URU,PER,1,0,57735,John Langenus,Belgium,"Estadio Centenario, Montevideo",1930 FIFA World Cup Group 3
1930,group,1930-07-19,ARG,MEX,6,3,42100,Ulises Saucedo,Bolivia,"Estadio Centenario, Montevideo",1930 FIFA World Cup Group 1
1930,group,1930-07-19,CHI,FRA,1,0,2000,Anibal Tejada,Uruguay,"Estadio Centenario, Montevideo",1930 FIFA World Cup Group 1
1930,group,1930-07-20,BRA,BOL,4,0,25466,Thomas Balvay,France,"Estadio Centenario, Montevideo",1930 FIFA World Cup Group 2
1930,group,1930-07-20,PAR,BEL,1,0,12000,Ricardo Vallarino,Uruguay,"Estadio Centenario, Montevideo",1930 FIFA World Cup Group 4
1930,group,1930-07-21,URU,ROU,4,0,70022,Almeida Rêgo,Brazil,"Estadio Centenario, Montevideo",1930 FIFA World Cup Group 3
1930,group,1930-07-22,ARG,CHI,3,1,41459,John Langenus,Belgium,"Estadio Centenario, Montevideo",1930 FIFA World Cup Group 1
1930,semi-final,1930-07-26,ARG,USA,6,1,72886,John Langenus,Belgium,"Estadio Centenario, Montevideo",1930 FIFA World Cup knockout stage
1930,semi-final,1930-07-27,URU,YUG,6,1,79867,Gilberto de Almeida Rêgo,Brazil,"Estadio Centenario, Montevideo",1930 FIFA World Cup knockout stage
1930,final,1930-07-30,URU,ARG,4,2,68346,John Langenus,Belgium,"Estadio Centenario, Montevideo",1930 FIFA World Cup final
1934,round-of-16,1934-05-27,AUT,FRA,3,2,16000,Johannes van Moorsel,Netherlands,"Stadio Benito Mussolini, Turin",1934 FIFA World Cup final tournament
1934,round-of-16,1934-05-27,CSK,ROU,2,1,9000,John Langenus,Belgium,"Stadio Littorio, Trieste",1934 FIFA World Cup final tournament
1934,round-of-16,1934-05-27,ESP,BRA,3,1,21000,Alfred Birlem,Germany,"Stadio Luigi Ferraris, Genoa",1934 FIFA World Cup final tournament
1934,round-of-16,1934-05-27,GER,BEL,5,2,8000,Francesco Mattea,Italy,"Stadio Giovanni Berta, Florence",1934 FIFA World Cup final tournament
1934,round-of-16,1934-05-27,HUN,EGY,4,2,9000,Rinaldo Barlassina,Italy,"Stadio Giorgio Ascarelli, Naples",1934 FIFA World Cup final tournament
1934,round-of-16,1934-05-27,ITA,USA,7,1,25000,René Mercet,Switzerland,"Stadio Nazionale PNF, Rome",1934 FIFA World Cup final tournament
1934,round-of-16,1934-05-27,SUI,NED,3,2,33000,Ivan Eklind,Sweden,"Stadio San Siro, Milan",1934 FIFA World Cup final tournament
1934,round-of-16,1934-05-27,SWE,ARG,3,2,14000,Eugen Braun,Austria,"Stadio Littoriale, Bologna",1934 FIFA World Cup final tournament
1934,quarter-final,1934-05-31,AUT,HUN,2,1,23000,Francesco Mattea,Italy,"Stadio Littoriale, Bologna",1934 FIFA World Cup final tournament
