year,team_code,team_name,shirt_no,pos,player_key,player_display,dob,caps,club,club_nat,captain
1930,ARG,Argentina,,MF,Adolfo Zumelzú,Adolfo Zumelzú,1902-01-05,13,Sportivo Palermo,Argentina,0
1930,ARG,Argentina,,DF,Alberto Chividini,Alberto Chividini,1907-02-23,2,Central Norte,Argentina,0
1930,ARG,Argentina,,FW,Alejandro Scopelli,Alejandro Scopelli,1908-05-12,4,Estudiantes de La Plata,Argentina,0
1930,ARG,Argentina,,MF,Arico Suárez,Arico Suárez,1908-06-05,0,Boca Juniors,Argentina,0
1930,ARG,Argentina,,FW,Attilio Demaría,Attilio Demaría,1909-03-19,0,Estudiantil Porteño,Argentina,0
1930,ARG,Argentina,,FW,Carlos Peucelle,Carlos Peucelle,1908-09-13,6,Sportivo Buenos Aires,Argentina,0
1930,ARG,Argentina,,FW,Carlos Spadaro,Carlos Spadaro,1902-02-05,2,Lanús,Argentina,0
1930,ARG,Argentina,,DF,Edmundo Piaggio,Edmundo Piaggio,1905-10-03,0,Lanús,Argentina,0
1930,ARG,Argentina,,DF,Fernando Paternoster,Fernando Paternoster,1903-05-24,13,Racing,Argentina,0
1930,ARG,Argentina,,FW,Francisco Varallo,Francisco Varallo,1910-02-05,1,Gimnasia y Esgrima La Plata,Argentina,0
1930,ARG,Argentina,,FW,Guillermo Stábile,Guillermo Stábile,1905-01-17,0,Huracán,Argentina,0
1930,ARG,Argentina,,DF,José Della Torre,José Della Torre,1906-03-23,0,Racing,Argentina,0
1930,ARG,Argentina,,GK,Juan Botasso,Juan Botasso,1908-10-23,2,Argentino de Quilmes,Argentina,0
1930,ARG,Argentina,,MF,Juan Evaristo,Juan Evaristo,1902-06-20,22,Sportivo Palermo,Argentina,0
1930,ARG,Argentina,,MF,Luis Monti,Luis Monti,1901-05-15,11,San Lorenzo,Argentina,0
1930,ARG,Argentina,,FW,Manuel Ferreira (footballer),Manuel Ferreira,1905-10-22,18,Estudiantes de La Plata,Argentina,1
1930,ARG,Argentina,,FW,Mario Evaristo,Mario Evaristo,1908-12-10,6,Boca Juniors,Argentina,0
1930,ARG,Argentina,,FW,Natalio Perinetti,Natalio Perinetti,1900-12-28,15,Racing,Argentina,0
1930,ARG,Argentina,,DF,Ramón Muttis,Ramón Muttis,1899-03-12,10,Boca Juniors,Argentina,0
1930,ARG,Argentina,,FW,Roberto Cherro,Roberto Cherro,1907-02-23,10,Boca Juniors,Argentina,0
1930,ARG,Argentina,,MF,Rodolfo Orlandini,Rodolfo Orlandini,1905-01-01,8,Sportivo Buenos Aires,Argentina,0
1930,ARG,Argentina,,GK,Ángel Bossio,Ángel Bossio,1905-05-05,16,Talleres (RE),Argentina,0
1930,BEL,Belgium,,MF,Alexis Chantraine,Alexis Chantraine,1901-03-16,0,RFC Liège,Belgium,0
1930,BEL,Belgium,,FW,André Saeys,André Saeys,1911-02-20,0,CS Brugeois,Belgium,0
1930,BEL,Belgium,,GK,Arnold Badjou,Arnold Badjou,1909-06-25,3,Daring Club,Belgium,0
