year,host,stage,group,date,home,away,home_score,away_score,extra_time,pens_home,pens_away,venue,city,source
1930,Uruguay,group,1,1930-07-13,France,Mexico,4,1,,,,Estadio Pocitos,Montevideo,openfootball
1930,Uruguay,group,1,1930-07-15,Argentina,France,1,0,,,,Estadio Parque Central,Montevideo,openfootball
1930,Uruguay,group,1,1930-07-16,Chile,Mexico,3,0,,,,Estadio Parque Central,Montevideo,openfootball
1930,Uruguay,group,1,1930-07-19,Chile,France,1,0,,,,Estadio Centenario,Montevideo,openfootball
1930,Uruguay,group,1,1930-07-19,Argentina,Mexico,6,3,,,,Estadio Centenario,Montevideo,openfootball
1930,Uruguay,group,1,1930-07-22,Argentina,Chile,3,1,,,,Estadio Centenario,Montevideo,openfootball
1930,Uruguay,group,2,1930-07-14,Yugoslavia,Brazil,2,1,,,,Estadio Parque Central,Montevideo,openfootball
1930,Uruguay,group,2,1930-07-17,Yugoslavia,Bolivia,4,0,,,,Estadio Parque Central,Montevideo,openfootball
1930,Uruguay,group,2,1930-07-20,Brazil,Bolivia,4,0,,,,Estadio Centenario,Montevideo,openfootball
1930,Uruguay,group,3,1930-07-14,Romania,Peru,3,1,,,,Estadio Pocitos,Montevideo,openfootball
1930,Uruguay,group,3,1930-07-18,Uruguay,Peru,1,0,,,,Estadio Centenario,Montevideo,openfootball
1930,Uruguay,group,3,1930-07-21,Uruguay,Romania,4,0,,,,Estadio Centenario,Montevideo,openfootball
1930,Uruguay,group,4,1930-07-13,USA,Belgium,3,0,,,,Estadio Parque Central,Montevideo,openfootball
1930,Uruguay,group,4,1930-07-17,USA,Paraguay,3,0,,,,Estadio Parque Central,Montevideo,openfootball
1930,Uruguay,group,4,1930-07-20,Paraguay,Belgium,1,0,,,,Estadio Centenario,Montevideo,openfootball
1930,Uruguay,semi-final,,1930-07-26,Argentina,USA,6,1,,,,Estadio Centenario,Montevideo,openfootball
